id_municipio,municipio_nome,unidade,id_municipio_6d
3500600,Águas de São Pedro,GAEMA -  PCJ-Piracicaba,350060
3500709,Agudos,GAEMA -  Médio Paranapanema,350070
3500808,Alfredo Marcondes,GAEMA -  Pontal do Paranapanema,350080
3501004,Altinópolis,GAEMA -  Pardo,350100
3501152,Alumínio,GAEMA -  Tietê/Sorocaba,350115
3501301,Álvares Machado,GAEMA -  Pontal do Paranapanema,350130
3501608,Americana,GAEMA -  PCJ-Piracicaba,350160
3501905,Amparo,GAEMA -  PCJ-Atibaia,350190
3502002,Analândia,GAEMA -  PCJ-Piracicaba,350200
3502309,Anhembi,GAEMA -  Tietê/Sorocaba,350230
3502408,Anhumas,GAEMA -  Pontal do Paranapanema,350240
3502507,Aparecida,GAEMA -  Vale do Paraíba,350250
3502705,Apiaí,GAEMA -  Vale do Ribeira,350270
3502754,Araçariguama,GAEMA -  Tietê/Sorocaba,350275
3502903,Araçoiaba da Serra,GAEMA -  Tietê/Sorocaba,350290
3503158,Arapeí,GAEMA -  Vale do Paraíba,350315
3503505,Areias,GAEMA -  Vale do Paraíba,350350
3503802,Artur Nogueira,GAEMA -  PCJ-Campinas,350380
3503901,Arujá,GAEMA -  Cabeceiras,350390
3504008,Assis,GAEMA -  Médio Paranapanema,350400
3504107,Atibaia,GAEMA -  PCJ-Atibaia,350410
3504909,Bananal,GAEMA -  Vale do Paraíba,350490
3505351,Barra do Chapéu,GAEMA -  Vale do Ribeira,350535
3505401,Barra do Turvo,GAEMA -  Vale do Ribeira,350540
3505609,Barrinha,GAEMA -  Pardo,350560
3506359,Bertioga,GAEMA -  Baixada Santista,350635
3506607,Biritiba-Mirim,GAEMA -  Cabeceiras,350660
3506904,Bofete,GAEMA -  Tietê/Sorocaba,350690
3507001,Boituva,GAEMA -  Tietê/Sorocaba,350700
3507100,Bom Jesus dos Perdões,GAEMA -  PCJ-Atibaia,350710
3507209,Borá,GAEMA -  Médio Paranapanema,350720
3507506,Botucatu,GAEMA -  Tietê/Sorocaba,350750
3507605,Bragança Paulista,GAEMA -  PCJ-Atibaia,350760
3507803,Brodowski,GAEMA -  Pardo,350780
3508306,Cabrália Paulista,GAEMA -  Médio Paranapanema,350830
3508405,Cabreúva,GAEMA -  Tietê/Sorocaba,350840
3508504,Caçapava,GAEMA -  Vale do Paraíba,350850
3508603,Cachoeira Paulista,GAEMA -  Vale do Paraíba,350860
3508702,Caconde,GAEMA -  Pardo,350870
3508900,Caiabu,GAEMA -  Pontal do Paranapanema,350890
3509007,Caieiras,GAEMA -  Cabeceiras,350900
3509106,Caiuá,GAEMA -  Pontal do Paranapanema,350910
3509205,Cajamar,GAEMA -  Cabeceiras,350920
3509254,Cajati,GAEMA -  Vale do Ribeira,350925
3509403,Cajuru,GAEMA -  Pardo,350940
3509502,Campinas,GAEMA -  PCJ-Campinas,350950
3509601,Campo Limpo Paulista,GAEMA -  PCJ-Campinas,350960
3509809,Campos Novos Paulista,GAEMA -  Médio Paranapanema,350980
3509908,Cananéia,GAEMA -  Vale do Ribeira,350990
3509957,Canas,GAEMA -  Vale do Paraíba,350995
3510005,Cândido Mota,GAEMA -  Médio Paranapanema,351000
3510153,Canitar,GAEMA -  Médio Paranapanema,351015
3510302,Capela do Alto,GAEMA -  Tietê/Sorocaba,351030
3510401,Capivari,GAEMA -  PCJ-Piracicaba,351040
3510500,Caraguatatuba,GAEMA -  Litoral Norte,351050
3510807,Casa Branca,GAEMA -  Pardo,351080
3510906,Cássia dos Coqueiros,GAEMA -  Pardo,351090
3511508,Cerquilho,GAEMA -  Tietê/Sorocaba,351150
3511607,Cesário Lange,GAEMA -  Tietê/Sorocaba,351160
3511706,Charqueada,GAEMA -  PCJ-Piracicaba,351170
3557204,Chavantes,GAEMA -  Médio Paranapanema,355720
3512308,Conchas,GAEMA -  Tietê/Sorocaba,351230
3512407,Cordeirópolis,GAEMA -  PCJ-Piracicaba,351240
3512704,Corumbataí,GAEMA -  PCJ-Piracicaba,351270
3512803,Cosmópolis,GAEMA -  PCJ-Campinas,351280
3513108,Cravinhos,GAEMA -  Pardo,351310
3513306,Cruzália,GAEMA -  Médio Paranapanema,351330
3513405,Cruzeiro,GAEMA -  Vale do Paraíba,351340
3513504,Cubatão,GAEMA -  Baixada Santista,351350
3513603,Cunha,GAEMA -  Vale do Paraíba,351360
3513900,Divinolândia,GAEMA -  Pardo,351390
3514502,Duartina,GAEMA -  Médio Paranapanema,351450
3514601,Dumont,GAEMA -  Pardo,351460
3514700,Echaporã,GAEMA -  Médio Paranapanema,351470
3514809,Eldorado,GAEMA -  Vale do Ribeira,351480
3514908,Elias Fausto,GAEMA -  PCJ-Campinas,351490
3515129,Emilianópolis,GAEMA -  Pontal do Paranapanema,351512
3515152,Engenheiro Coelho,GAEMA -  PCJ-Campinas,351515
3515194,Espírito Santo do Turvo,GAEMA -  Médio Paranapanema,351519
3515301,Estrela do Norte,GAEMA -  Pontal do Paranapanema,351530
3515350,Euclides da Cunha Paulista,GAEMA -  Pontal do Paranapanema,351535
3515657,Fernão,GAEMA -  Médio Paranapanema,351565
3516101,Florínea,GAEMA -  Médio Paranapanema,351610
3516309,Francisco Morato,GAEMA -  Cabeceiras,351630
3516408,Franco da Rocha,GAEMA -  Cabeceiras,351640
3516606,Gália,GAEMA -  Médio Paranapanema,351660
3518305,Guararema,GAEMA -  Vale do Paraíba,351830
3518404,Guaratinguetá,GAEMA -  Vale do Paraíba,351840
3518503,Guareí,GAEMA -  Tietê/Sorocaba,351850
3518701,Guarujá,GAEMA -  Baixada Santista,351870
3518800,Guarulhos,GAEMA -  Cabeceiras,351880
3518859,Guatapará,GAEMA -  Pardo,351885
3519055,Holambra,GAEMA -  PCJ-Campinas,351905
3519071,Hortolândia,GAEMA -  PCJ-Campinas,351907
3519501,Ibirarema,GAEMA -  Médio Paranapanema,351950
3519709,Ibiúna,GAEMA -  Tietê/Sorocaba,351970
3519907,Iepê,GAEMA -  Pontal do Paranapanema,351990
3520202,Igaratá,GAEMA -  Vale do Paraíba,352020
3520301,Iguape,GAEMA -  Vale do Ribeira,352030
3520426,Ilha Comprida,GAEMA -  Vale do Ribeira,352042
3520400,Ilhabela,GAEMA -  Litoral Norte,352040
3520509,Indaiatuba,GAEMA -  PCJ-Campinas,352050
3520608,Indiana,GAEMA -  Pontal do Paranapanema,352060
3521002,Iperó,GAEMA -  Tietê/Sorocaba,352100
3521101,Ipeúna,GAEMA -  PCJ-Piracicaba,352110
3521200,Iporanga,GAEMA -  Vale do Ribeira,352120
3521408,Iracemápolis,GAEMA -  PCJ-Piracicaba,352140
3522109,Itanhaém,GAEMA -  Baixada Santista,352210
3522158,Itaóca,GAEMA -  Vale do Ribeira,352215
3522653,Itapirapuã Paulista,GAEMA -  Vale do Ribeira,352265
3523107,Itaquaquecetuba,GAEMA -  Cabeceiras,352310
3523305,Itariri,GAEMA -  Vale do Ribeira,352330
3523404,Itatiba,GAEMA -  PCJ-Campinas,352340
3523602,Itirapina,GAEMA -  PCJ-Piracicaba,352360
3523800,Itobi,GAEMA -  Pardo,352380
3523909,Itu,GAEMA -  Tietê/Sorocaba,352390
3524006,Itupeva,GAEMA -  PCJ-Campinas,352400
3524402,Jacareí,GAEMA -  Vale do Paraíba,352440
3524600,Jacupiranga,GAEMA -  Vale do Ribeira,352460
3524709,Jaguariúna,GAEMA -  PCJ-Campinas,352470
3524907,Jambeiro,GAEMA -  Vale do Paraíba,352490
3525102,Jardinópolis,GAEMA -  Pardo,352510
3525201,Jarinu,GAEMA -  PCJ-Atibaia,352520
3525508,Joanópolis,GAEMA -  PCJ-Atibaia,352550
3525854,Jumirim,GAEMA -  Tietê/Sorocaba,352585
3525904,Jundiaí,GAEMA -  PCJ-Campinas,352590
3526100,Juquiá,GAEMA -  Vale do Ribeira,352610
3526308,Lagoinha,GAEMA -  Vale do Paraíba,352630
3526407,Laranjal Paulista,GAEMA -  Tietê/Sorocaba,352640
3526605,Lavrinhas,GAEMA -  Vale do Paraíba,352660
3526902,Limeira,GAEMA -  PCJ-Piracicaba,352690
3527207,Lorena,GAEMA -  Vale do Paraíba,352720
3527306,Louveira,GAEMA -  PCJ-Campinas,352730
3527504,Lucianópolis,GAEMA -  Médio Paranapanema,352750
3527603,Luiz Antônio,GAEMA -  Pardo,352760
3527900,Lutécia,GAEMA -  Médio Paranapanema,352790
3528403,Mairinque,GAEMA -  Tietê/Sorocaba,352840
3528502,Mairiporã,GAEMA -  Cabeceiras,352850
3528700,Marabá Paulista,GAEMA -  Pontal do Paranapanema,352870
3528809,Maracaí,GAEMA -  Médio Paranapanema,352880
3529203,Martinópolis,GAEMA -  Pontal do Paranapanema,352920
3529906,Miracatu,GAEMA -  Vale do Ribeira,352990
3530201,Mirante do Paranapanema,GAEMA -  Pontal do Paranapanema,353020
3530508,Mococa,GAEMA -  Pardo,353050
3530607,Mogi das Cruzes,GAEMA -  Cabeceiras,353060
3530904,Mombuca,GAEMA -  PCJ-Piracicaba,353090
3531100,Mongaguá,GAEMA -  Baixada Santista,353110
3531209,Monte Alegre do Sul,GAEMA -  PCJ-Atibaia,353120
3531803,Monte Mor,GAEMA -  PCJ-Campinas,353180
3531704,Monteiro Lobato,GAEMA -  Vale do Paraíba,353170
3532009,Morungaba,GAEMA -  PCJ-Campinas,353200
3532157,Nantes,GAEMA -  Pontal do Paranapanema,353215
3532207,Narandiba,GAEMA -  Pontal do Paranapanema,353220
3532306,Natividade da Serra,GAEMA -  Vale do Paraíba,353230
3532405,Nazaré Paulista,GAEMA -  PCJ-Atibaia,353240
3533403,Nova Odessa,GAEMA -  PCJ-Campinas,353340
3534500,Oscar Bressane,GAEMA -  Médio Paranapanema,353450
3534708,Ourinhos,GAEMA -  Médio Paranapanema,353470
3535309,Palmital,GAEMA -  Médio Paranapanema,353530
3535507,Paraguaçu Paulista,GAEMA -  Médio Paranapanema,353550
3535606,Paraibuna,GAEMA -  Vale do Paraíba,353560
3536109,Pardinho,GAEMA -  Tietê/Sorocaba,353610
3536208,Pariquera-Açu,GAEMA -  Vale do Ribeira,353620
3536505,Paulínia,GAEMA -  PCJ-Campinas,353650
3536570,Paulistânia,GAEMA -  Médio Paranapanema,353657
3536802,Pedra Bela,GAEMA -  PCJ-Atibaia,353680
3537107,Pedreira,GAEMA -  PCJ-Campinas,353710
3537156,Pedrinhas Paulista,GAEMA -  Médio Paranapanema,353715
3537206,Pedro de Toledo,GAEMA -  Vale do Ribeira,353720
3537503,Pereiras,GAEMA -  Tietê/Sorocaba,353750
3537602,Peruíbe,GAEMA -  Baixada Santista,353760
3537800,Piedade,GAEMA -  Tietê/Sorocaba,353780
3538006,Pindamonhangaba,GAEMA -  Vale do Paraíba,353800
3538204,Pinhalzinho,GAEMA -  PCJ-Atibaia,353820
3538303,Piquerobi,GAEMA -  Pontal do Paranapanema,353830
3538501,Piquete,GAEMA -  Vale do Paraíba,353850
3538600,Piracaia,GAEMA -  PCJ-Atibaia,353860
3538709,Piracicaba,GAEMA -  PCJ-Piracicaba,353870
3539202,Pirapozinho,GAEMA -  Pontal do Paranapanema,353920
3539400,Piratininga,GAEMA -  Médio Paranapanema,353940
3539707,Platina,GAEMA -  Médio Paranapanema,353970
3539806,Poá,GAEMA -  Cabeceiras,353980
