id_municipio,municipio_nome,id_macrorregiao,macrorregiao_nome
3500105,Adamantina,4,Bauru
3500204,Adolfo,5,Ribeirão Preto
3500303,Aguaí,2,Campinas
3500402,Águas da Prata,2,Campinas
3500501,Águas de Lindóia,2,Campinas
3500550,Águas de Santa Bárbara,4,Bauru
3500600,Águas de São Pedro,3,Piracicaba
3500709,Agudos,4,Bauru
3500758,Alambari,3,Piracicaba
3500808,Alfredo Marcondes,4,Bauru
3500907,Altair,5,Ribeirão Preto
3501004,Altinópolis,5,Ribeirão Preto
3501103,Alto Alegre,4,Bauru
3501152,Alumínio,3,Piracicaba
3501202,Álvares Florence,5,Ribeirão Preto
3501301,Álvares Machado,4,Bauru
3501400,Álvaro de Carvalho,4,Bauru
3501509,Alvinlândia,4,Bauru
3501608,Americana,3,Piracicaba
3501707,Américo Brasiliense,5,Ribeirão Preto
3501806,Américo de Campos,5,Ribeirão Preto
3501905,Amparo,2,Campinas
3502002,Analândia,3,Piracicaba
3502101,Andradina,4,Bauru
3502200,Angatuba,3,Piracicaba
3502309,Anhembi,3,Piracicaba
3502408,Anhumas,4,Bauru
3502507,Aparecida,2,Campinas
3502606,Aparecida d'Oeste,5,Ribeirão Preto
3502705,Apiaí,3,Piracicaba
3502754,Araçariguama,3,Piracicaba
3502804,Araçatuba,4,Bauru
3502903,Araçoiaba da Serra,3,Piracicaba
3503000,Aramina,5,Ribeirão Preto
3503109,Arandu,4,Bauru
3503158,Arapeí,2,Campinas
3503208,Araraquara,5,Ribeirão Preto
3503307,Araras,3,Piracicaba
3503356,Arco-Íris,4,Bauru
3503406,Arealva,4,Bauru
3503505,Areias,2,Campinas
3503604,Areiópolis,4,Bauru
3503703,Ariranha,5,Ribeirão Preto
3503802,Artur Nogueira,2,Campinas
3503901,Arujá,1,São Paulo
3503950,Aspásia,5,Ribeirão Preto
3504008,Assis,4,Bauru
3504107,Atibaia,2,Campinas
3504206,Auriflama,5,Ribeirão Preto
3504305,Avaí,4,Bauru
3504404,Avanhandava,4,Bauru
3504503,Avaré,4,Bauru
3504602,Bady Bassitt,5,Ribeirão Preto
3504701,Balbinos,4,Bauru
3504800,Bálsamo,5,Ribeirão Preto
3504909,Bananal,2,Campinas
3505005,Barão de Antonina,3,Piracicaba
3505104,Barbosa,4,Bauru
3505203,Bariri,4,Bauru
3505302,Barra Bonita,4,Bauru
3505351,Barra do Chapéu,3,Piracicaba
3505401,Barra do Turvo,1,São Paulo
3505500,Barretos,5,Ribeirão Preto
3505609,Barrinha,5,Ribeirão Preto
3505708,Barueri,1,São Paulo
3505807,Bastos,4,Bauru
3505906,Batatais,5,Ribeirão Preto
3506003,Bauru,4,Bauru
3506102,Bebedouro,5,Ribeirão Preto
3506201,Bento de Abreu,4,Bauru
3506300,Bernardino de Campos,4,Bauru
3506359,Bertioga,1,São Paulo
3506409,Bilac,4,Bauru
3506508,Birigui,4,Bauru
3506607,Biritiba-Mirim,1,São Paulo
3506706,Boa Esperança do Sul,5,Ribeirão Preto
3506805,Bocaina,4,Bauru
3506904,Bofete,3,Piracicaba
3507001,Boituva,3,Piracicaba
3507100,Bom Jesus dos Perdões,2,Campinas
3507159,Bom Sucesso de Itararé,3,Piracicaba
3507209,Borá,4,Bauru
3507308,Boracéia,4,Bauru
3507407,Borborema,4,Bauru
3507456,Borebi,4,Bauru
3507506,Botucatu,4,Bauru
3507605,Bragança Paulista,2,Campinas
3507704,Braúna,4,Bauru
3507753,Brejo Alegre,4,Bauru
3507803,Brodowski,5,Ribeirão Preto
3507902,Brotas,3,Piracicaba
3508009,Buri,3,Piracicaba
3508108,Buritama,4,Bauru
3508207,Buritizal,5,Ribeirão Preto
3508306,Cabrália Paulista,4,Bauru
3508405,Cabreúva,3,Piracicaba
3508504,Caçapava,2,Campinas
3508603,Cachoeira Paulista,2,Campinas
3508702,Caconde,5,Ribeirão Preto
3508801,Cafelândia,4,Bauru
3508900,Caiabu,4,Bauru
3509007,Caieiras,1,São Paulo
3509106,Caiuá,4,Bauru
3509205,Cajamar,1,São Paulo
3509254,Cajati,1,São Paulo
3509304,Cajobi,5,Ribeirão Preto
3509403,Cajuru,5,Ribeirão Preto
3509452,Campina do Monte Alegre,3,Piracicaba
3509502,Campinas,2,Campinas
3509601,Campo Limpo Paulista,1,São Paulo
3509700,Campos do Jordão,2,Campinas
3509809,Campos Novos Paulista,4,Bauru
3509908,Cananéia,1,São Paulo
3509957,Canas,2,Campinas
3510005,Cândido Mota,4,Bauru
3510104,Cândido Rodrigues,5,Ribeirão Preto
3510153,Canitar,4,Bauru
3510203,Capão Bonito,3,Piracicaba
3510302,Capela do Alto,3,Piracicaba
3510401,Capivari,3,Piracicaba
3510500,Caraguatatuba,2,Campinas
3510609,Carapicuíba,1,São Paulo
3510708,Cardoso,5,Ribeirão Preto
3510807,Casa Branca,5,Ribeirão Preto
3510906,Cássia dos Coqueiros,5,Ribeirão Preto
3511003,Castilho,4,Bauru
3511102,Catanduva,5,Ribeirão Preto
3511201,Catiguá,5,Ribeirão Preto
3511300,Cedral,5,Ribeirão Preto
3511409,Cerqueira César,4,Bauru
3511508,Cerquilho,3,Piracicaba
3511607,Cesário Lange,3,Piracicaba
3511706,Charqueada,3,Piracicaba
3511904,Clementina,4,Bauru
3512001,Colina,5,Ribeirão Preto
3512100,Colômbia,5,Ribeirão Preto
3512209,Conchal,2,Campinas
3512308,Conchas,3,Piracicaba
3512407,Cordeirópolis,3,Piracicaba
3512506,Coroados,4,Bauru
3512605,Coronel Macedo,4,Bauru
3512704,Corumbataí,3,Piracicaba
3512803,Cosmópolis,2,Campinas
3512902,Cosmorama,5,Ribeirão Preto
3513009,Cotia,1,São Paulo
3513108,Cravinhos,5,Ribeirão Preto
3513207,Cristais Paulista,5,Ribeirão Preto
3513306,Cruzália,4,Bauru
3513405,Cruzeiro,2,Campinas
3513504,Cubatão,1,São Paulo
3513603,Cunha,2,Campinas
3513702,Descalvado,5,Ribeirão Preto
3513801,Diadema,1,São Paulo
3513850,Dirce Reis,5,Ribeirão Preto
3513900,Divinolândia,5,Ribeirão Preto
3514007,Dobrada,5,Ribeirão Preto
3514106,Dois Córregos,4,Bauru
3514205,Dolcinópolis,5,Ribeirão Preto
3514304,Dourado,5,Ribeirão Preto
3514403,Dracena,4,Bauru
3514502,Duartina,4,Bauru
3514601,Dumont,5,Ribeirão Preto
3514700,Echaporã,4,Bauru
3514809,Eldorado,1,São Paulo
3514908,Elias Fausto,2,Campinas
3514924,Elisiário,5,Ribeirão Preto
3514957,Embaúba,5,Ribeirão Preto
3515004,Embu das Artes,1,São Paulo
3515103,Embu-Guaçu,1,São Paulo
3515129,Emilianópolis,4,Bauru
3515152,Engenheiro Coelho,2,Campinas
3515186,Espírito Santo do Pinhal,2,Campinas
3515194,Espírito Santo do Turvo,4,Bauru
3515202,Estrela d'Oeste,5,Ribeirão Preto
3515301,Estrela do Norte,4,Bauru
3515350,Euclides da Cunha Paulista,4,Bauru
3515400,Fartura,4,Bauru
3515509,Fernandópolis,5,Ribeirão Preto
3515608,Fernando Prestes,5,Ribeirão Preto
3515657,Fernão,4,Bauru
3515707,Ferraz de Vasconcelos,1,São Paulo
3515806,Flora Rica,4,Bauru
3515905,Floreal,5,Ribeirão Preto
3516002,Flórida Paulista,4,Bauru
3516101,Florínea,4,Bauru
3516200,Franca,5,Ribeirão Preto
3516309,Francisco Morato,1,São Paulo
3516408,Franco da Rocha,1,São Paulo
3516507,Gabriel Monteiro,4,Bauru
3516606,Gália,4,Bauru
3516705,Garça,4,Bauru
3516804,Gastão Vidigal,5,Ribeirão Preto
3516853,Gavião Peixoto,5,Ribeirão Preto
3516903,General Salgado,5,Ribeirão Preto
3517000,Getulina,4,Bauru
3517109,Glicério,4,Bauru
3517208,Guaiçara,4,Bauru
3517307,Guaimbê,4,Bauru
3517406,Guaíra,5,Ribeirão Preto
3517505,Guapiaçu,5,Ribeirão Preto
3517604,Guapiara,3,Piracicaba
3517703,Guará,5,Ribeirão Preto
3517802,Guaraçaí,4,Bauru
3517901,Guaraci,5,Ribeirão Preto
3518008,Guarani d'Oeste,5,Ribeirão Preto
3518107,Guarantã,4,Bauru
3518206,Guararapes,4,Bauru
3518305,Guararema,1,São Paulo
3518404,Guaratinguetá,2,Campinas
3518503,Guareí,3,Piracicaba
3518602,Guariba,5,Ribeirão Preto
3518701,Guarujá,1,São Paulo
3518800,Guarulhos,1,São Paulo
3518859,Guatapará,5,Ribeirão Preto
3518909,Guzolândia,5,Ribeirão Preto
3519006,Herculândia,4,Bauru
3519055,Holambra,2,Campinas
3519071,Hortolândia,2,Campinas
3519105,Iacanga,4,Bauru
3519204,Iacri,4,Bauru
3519253,Iaras,4,Bauru
3519303,Ibaté,5,Ribeirão Preto
3519402,Ibirá,5,Ribeirão Preto
3519501,Ibirarema,4,Bauru
3519600,Ibitinga,4,Bauru
3519709,Ibiúna,3,Piracicaba
3519808,Icém,5,Ribeirão Preto
3519907,Iepê,4,Bauru
3520004,Igaraçu do Tietê,4,Bauru
3520103,Igarapava,5,Ribeirão Preto
3520202,Igaratá,1,São Paulo
3520301,Iguape,1,São Paulo
3520400,Ilhabela,2,Campinas
3520426,Ilha Comprida,1,São Paulo
3520442,Ilha Solteira,4,Bauru
3520509,Indaiatuba,2,Campinas
3520608,Indiana,4,Bauru
3520707,Indiaporã,5,Ribeirão Preto
3520806,Inúbia Paulista,4,Bauru
3520905,Ipaussu,4,Bauru
3521002,Iperó,3,Piracicaba
3521101,Ipeúna,3,Piracicaba
3521150,Ipiguá,5,Ribeirão Preto
3521200,Iporanga,1,São Paulo
3521309,Ipuã,5,Ribeirão Preto
3521408,Iracemápolis,3,Piracicaba
3521507,Irapuã,5,Ribeirão Preto
3521606,Irapuru,4,Bauru
3521705,Itaberá,3,Piracicaba
3521804,Itaí,4,Bauru
3521903,Itajobi,5,Ribeirão Preto
3522000,Itaju,4,Bauru
