id_municipio,municipio_nome,id_pjreg,pjreg_nome
3500105,Adamantina,20,Promotoria de Justiça Regional do Meio Ambiente do Aguapeí/Peixe
3500204,Adolfo,19,Promotoria de Justiça Regional do Meio Ambiente do Baixo Tietê
3500303,Aguaí,23,Promotoria de Justiça Regional do Meio Ambiente do Alto Mogi/Médio Mogi Superior
3500402,Águas da Prata,23,Promotoria de Justiça Regional do Meio Ambiente do Alto Mogi/Médio Mogi Superior
3500501,Águas de Lindóia,23,Promotoria de Justiça Regional do Meio Ambiente do Alto Mogi/Médio Mogi Superior
3500550,Águas de Santa Bárbara,15,Promotoria de Justiça Regional do Meio Ambiente do Alto Paranapanema
3500600,Águas de São Pedro,10,Promotoria de Justiça Regional do Meio Ambiente do PCJ Piracicaba
3500709,Agudos,7,Promotoria de Justiça Regional do Meio Ambiente do Médio Paranapanema
3500758,Alambari,15,Promotoria de Justiça Regional do Meio Ambiente do Alto Paranapanema
3500808,Alfredo Marcondes,6,Promotoria de Justiça Regional do Meio Ambiente do Pontal do Paranapanema
3500907,Altair,16,Promotoria de Justiça Regional do Meio Ambiente do Turvo/Grande
3501004,Altinópolis,1,Promotoria de Justiça Regional do Meio Ambiente do Pardo
3501103,Alto Alegre,19,Promotoria de Justiça Regional do Meio Ambiente do Baixo Tietê
3501152,Alumínio,11,Promotoria de Justiça Regional do Meio Ambiente do Tietê/Sorocaba
3501202,Álvares Florence,16,Promotoria de Justiça Regional do Meio Ambiente do Turvo/Grande
3501301,Álvares Machado,6,Promotoria de Justiça Regional do Meio Ambiente do Pontal do Paranapanema
3501400,Álvaro de Carvalho,20,Promotoria de Justiça Regional do Meio Ambiente do Aguapeí/Peixe
3501509,Alvinlândia,20,Promotoria de Justiça Regional do Meio Ambiente do Aguapeí/Peixe
3501608,Americana,10,Promotoria de Justiça Regional do Meio Ambiente do PCJ Piracicaba
3501707,Américo Brasiliense,24,Promotoria de Justiça Regional do Meio Ambiente do Médio Mogi Inferior
3501806,Américo de Campos,16,Promotoria de Justiça Regional do Meio Ambiente do Turvo/Grande
3501905,Amparo,9,Promotoria de Justiça Regional do Meio Ambiente do PCJ Campinas-Atibaia
3502002,Analândia,10,Promotoria de Justiça Regional do Meio Ambiente do PCJ Piracicaba
3502101,Andradina,19,Promotoria de Justiça Regional do Meio Ambiente do Baixo Tietê
3502200,Angatuba,15,Promotoria de Justiça Regional do Meio Ambiente do Alto Paranapanema
3502309,Anhembi,11,Promotoria de Justiça Regional do Meio Ambiente do Tietê/Sorocaba
3502408,Anhumas,6,Promotoria de Justiça Regional do Meio Ambiente do Pontal do Paranapanema
3502507,Aparecida,3,Promotoria de Justiça Regional do Meio Ambiente do Paraíba do Sul
