id_municipio,municipio_nome,id_gaeco_mun,gaeco_nome
3500105,Adamantina,9,Núcleo Presidente Prudente
3500204,Adolfo,12,Núcleo São José do Rio Preto
3500303,Aguaí,4,Núcleo Campinas
3500402,Águas da Prata,4,Núcleo Campinas
3500501,Águas de Lindóia,4,Núcleo Campinas
3500550,Águas de Santa Bárbara,3,Núcleo Bauru
3500600,Águas de São Pedro,8,Núcleo Piracicaba
3500709,Agudos,3,Núcleo Bauru
3500758,Alambari,13,Núcleo Sorocaba
3500808,Alfredo Marcondes,9,Núcleo Presidente Prudente
3500907,Altair,12,Núcleo São José do Rio Preto
3501004,Altinópolis,6,Núcleo Franca
3501103,Alto Alegre,2,Núcleo Araçatuba
3501152,Alumínio,13,Núcleo Sorocaba
3501202,Álvares Florence,12,Núcleo São José do Rio Preto
3501301,Álvares Machado,9,Núcleo Presidente Prudente
3501400,Álvaro de Carvalho,3,Núcleo Bauru
3501509,Alvinlândia,3,Núcleo Bauru
3501608,Americana,8,Núcleo Piracicaba
3501707,Américo Brasiliense,10,Núcleo Ribeirão Preto
3501806,Américo de Campos,12,Núcleo São José do Rio Preto
3501905,Amparo,4,Núcleo Campinas
3502002,Analândia,8,Núcleo Piracicaba
3502101,Andradina,2,Núcleo Araçatuba
3502200,Angatuba,13,Núcleo Sorocaba
3502309,Anhembi,8,Núcleo Piracicaba
3502408,Anhumas,9,Núcleo Presidente Prudente
3502507,Aparecida,14,Núcleo Vale do Paraíba
3502606,Aparecida d'Oeste,12,Núcleo São José do Rio Preto
3502705,Apiaí,13,Núcleo Sorocaba
3502754,Araçariguama,13,Núcleo Sorocaba
3502804,Araçatuba,2,Núcleo Araçatuba
3502903,Araçoiaba da Serra,13,Núcleo Sorocaba
3503000,Aramina,6,Núcleo Franca
3503109,Arandu,3,Núcleo Bauru
3503158,Arapeí,14,Núcleo Vale do Paraíba
3503208,Araraquara,10,Núcleo Ribeirão Preto
3503307,Araras,8,Núcleo Piracicaba
3503356,Arco-Íris,9,Núcleo Presidente Prudente
3503406,Arealva,3,Núcleo Bauru
3503505,Areias,14,Núcleo Vale do Paraíba
3503604,Areiópolis,3,Núcleo Bauru
3503703,Ariranha,12,Núcleo São José do Rio Preto
3503802,Artur Nogueira,4,Núcleo Campinas
3503901,Arujá,7,Núcleo Guarulhos
3503950,Aspásia,12,Núcleo São José do Rio Preto
3504008,Assis,9,Núcleo Presidente Prudente
3504107,Atibaia,4,Núcleo Campinas
