DEFAULT,0m
BOLD,1m
UNDERLINE,4m
NO-UNDERLINE,24m
REVERSE-TEXT,7m
POSITIVE-TEXT,27m
COLOR-BLACK,30m
BG-BLACK,40m
COLOR-DARK-RED,31m
BG-DARK-RED,41m
COLOR-DARK-GREEN,32m
BG-DARK-GREEN,42m
COLOR-DARK-YELLOW,33m
BG-DARK-YELLOW,43m
COLOR-DARK-BLUE,34m
BG-DARK-BLUE,44m
COLOR-DARK-MAGENTA,35m
BG-DARK-MAGENTA,45m
COLOR-DARK-CYAN,36m
BG-DARK-CYAN,46m
COLOR-DARK-WHITE,37m
BG-DARK-WHITE,47m
COLOR-GRAY,90m
BG-GRAY,100m
COLOR-GREY,90m
BG-GREY,100m
COLOR-RED,91m
BG-RED,101m
COLOR-GREEN,92m
BG-GREEN,102m
COLOR-YELLOW,93m
BG-YELLOW,103m
COLOR-BLUE,94m
BG-BLUE,104m
COLOR-MAGENTA,95m
BG-MAGENTA,105m
COLOR-CYAN,96m
BG-CYAN,106m
COLOR-WHITE,97m
BG-WHITE,107m
