id_municipio,municipio_nome,id_rp,rp_nome,rp_ugrhi
3500105,Adamantina,11.0,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3500204,Adolfo,10.0,Baixo Tietê,UGRHI Baixo Tietê
3500303,Aguaí,14.0,Alto Mogi,UGRHI Mogi-Guaçu
3500402,Águas da Prata,14.0,Alto Mogi,UGRHI Mogi-Guaçu
3500501,Águas de Lindóia,14.0,Alto Mogi,UGRHI Mogi-Guaçu
3500550,Águas de Santa Bárbara,6.0,Alto Paranapanema,UGRHI Alto Paranapanema
3500758,Alambari,6.0,Alto Paranapanema,UGRHI Alto Paranapanema
3500907,Altair,7.0,Turvo/Grande,UGRHI Turvo/Grande
3501103,Alto Alegre,10.0,Baixo Tietê,UGRHI Baixo Tietê
3501202,Álvares Florence,7.0,Turvo/Grande,UGRHI Turvo/Grande
3501400,Álvaro de Carvalho,11.0,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3501509,Alvinlândia,11.0,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3501707,Américo Brasiliense,16.0,Médio Mogi Inferior,UGRHI Mogi-Guaçu
3501806,Américo de Campos,7.0,Turvo/Grande,UGRHI Turvo/Grande
3502101,Andradina,10.0,Baixo Tietê,UGRHI Baixo Tietê
3502200,Angatuba,6.0,Alto Paranapanema,UGRHI Alto Paranapanema
3502606,Aparecida d'Oeste,9.0,São José dos Dourados,UGRHI São José dos Dourados
3502804,Araçatuba,10.0,Baixo Tietê,UGRHI Baixo Tietê
3503000,Aramina,2.0,Sapucaí/Grande,UGRHI Sapucaí/Grande
3503109,Arandu,6.0,Alto Paranapanema,UGRHI Alto Paranapanema
3503208,Araraquara,16.0,Médio Mogi Inferior,UGRHI Mogi-Guaçu
3503307,Araras,15.0,Médio Mogi Superior,UGRHI Mogi-Guaçu
3503356,Arco-Íris,11.0,Aguapeí/Peixe,UGRHI Aguapeí/Peixe
3503406,Arealva,8.0,Tietê/Batalha,UGRHI Tietê/Batalha
3503604,Areiópolis,5.0,Tietê/Jacaré,UGHRI Tietê/Jacaré
3503703,Ariranha,7.0,Turvo/Grande,UGRHI Turvo/Grande
3503950,Aspásia,9.0,São José dos Dourados,UGRHI São José dos Dourados
