,Бурение лидерных скважин_act_fact,Монтаж оголовников_act_fact,Монтаж термостабилизаторов_act_fact,АКЗ металлоконструкций_act_fact,Монтаж молниеотвода_act_fact,"Монтаж лестниц, ограждений, площадок_act_fact",Монтаж кабельных лотков_act_fact,Монтаж ЗРА_act_fact,Монтаж настила_act_fact,Монтаж стоек_act_fact,Монтаж кабельных стоек_act_fact,Монтаж кабельных полок_act_fact,Монтаж активного соляного заземления_act_fact,Монтаж лестниц_act_fact,Монтаж траверс_act_fact,Монтаж стоек ограждения_act_fact,Теплоизоляция сварного стыка_act_fact,Монтаж силового кабеля_act_fact,Монтаж греющего кабеля (в т.ч.кабеля скин системы)_act_fact,АКЗ трубопроводов_act_fact,Подвеска грозозащитного троса_act_fact,Монтаж приборов КИПиА_act_fact,Монтаж футляра_act_fact,Монтаж кожуха из оцинкованной стали_act_fact,Пуско-наладочные работы_act_fact,Монтаж металлоконструкций основания_act_fact,АКЗ металлоконструкций основания_act_fact,Монтаж кабельных муфт_act_fact,Обратная засыпка грунта_act_fact,Монтаж трубопроводов с установкой фасонины_act_fact,Монтаж мачты прожекторной_act_fact,Монтаж комплектующих мачты прожекторной_act_fact,Монтаж ригелей_act_fact,Монтаж марок ГТМ_act_fact,Изоляция сварного стыка манжетами_act_fact,Монтаж теплоизоляции трубопровода_act_fact,Монтаж кабеля АСУТП_act_fact,Установка в скважины свай_act_fact,Испытания трубопроводов_act_fact,Разработка грунта под емкость_act_fact,Монтаж ёмкости_act_fact,Изготовление футляра под трубопровод_act_fact,Укладка футляра в траншею_act_fact,Установка термостабилизатора_act_fact,Монтаж измерительной установки_act_fact,Теплоизоляция трубопроводов_act_fact,Монтаж приборов ОПС_act_fact,Монтаж кабеля электрообогрева_act_fact,Монтаж кабеля ОПС_act_fact,ПНР оборудования АСУТП  блока контроля и управления_act_fact,"ПНР электрооборудования, молниезащиты, заземления_act_fact",Укладка трубопровода на опоры_act_fact,Укладка полосового заземления_act_fact,Монтаж площадки обслуживания скважины_act_fact,Монтаж оборудования передачи данных_act_fact,Подвеска провода_act_fact,Монтаж ОПН_act_fact,Монтаж блока переключателя скважин многоходового_act_fact,Монтаж блок-бокса_act_fact,ПНР ОПС_act_fact,Монтаж шкафа управления электрообогревом_act_fact,Монтаж оборудования телефонной связи_act_fact,Монтаж оборудования системы видеонаблюдения_act_fact,Испытание трубопроводов_act_fact,ПНР системы электрообогрева_act_fact,Монтаж опор трубопровода_act_fact,Монтаж щита пожарного с комплектующими_act_fact,Укладка электрода (соляное заземление)_act_fact,"Монтаж ростверков и опорных конструкций под порталы, опоры ВЛ_act_fact",Установка опор/порталов_act_fact,Устройство термометрических скважин_act_fact,Монтаж приборов_act_fact,Монтаж трубопроводов с установкой фасонных частей_act_fact,Монтаж опор под трубопровод_act_fact,ПНР сетей КИПиА_act_fact,Монтаж оборудования АСУТП_act_fact
Геодезист_res_fact,0.77,0.99,0.25,0.67,0.23,0.62,1.0,0.53,0.78,0.82,0.94,0.93,0.25,0.35,0.83,0.21,0.74,0.73,0.74,0.53,0.43,0.37,0.17,0.61,0.34,0.85,0.56,0.57,0.29,0.75,0.31,0.23,0.72,0.46,0.75,0.54,0.59,0.75,0.42,0.34,0.26,0.34,0.3,0.34,0.17,0.63,0.28,0.47,0.41,0.1,0.13,1.16,0.45,0.15,0.24,0.67,0.29,0.15,0.33,0.2,0.18,0.27,0.28,0.39,0.29,0.96,0.12,0.31,0.51,0.5,0.23,0.3,0.23,0.26,0.3,0.24
Бурильная машина_res_fact,0.84,1.03,0.26,0.68,0.24,0.77,1.1,0.56,0.79,0.83,1.02,1.02,0.25,0.36,0.82,0.22,0.75,0.8,0.96,0.58,0.4,0.39,0.15,0.58,0.37,0.87,0.56,0.67,0.29,0.84,0.32,0.22,0.73,0.44,0.8,0.51,0.66,0.79,0.43,0.36,0.26,0.35,0.3,0.35,0.19,0.75,0.3,0.48,0.47,0.08,0.12,1.19,0.47,0.11,0.19,0.66,0.27,0.14,0.32,0.18,0.19,0.26,0.28,0.42,0.3,0.98,0.12,0.31,0.52,0.51,0.24,0.33,0.24,0.36,0.3,0.28
"Бурильщик, помощник бурильщика_res_fact",0.75,0.92,0.24,0.65,0.24,0.73,1.06,0.51,0.71,0.77,0.98,0.97,0.23,0.35,0.76,0.21,0.69,0.75,0.89,0.53,0.36,0.36,0.11,0.52,0.36,0.78,0.52,0.63,0.27,0.8,0.29,0.19,0.7,0.39,0.75,0.48,0.62,0.71,0.39,0.33,0.25,0.33,0.28,0.33,0.17,0.68,0.24,0.43,0.42,0.03,0.06,1.08,0.44,0.08,0.18,0.56,0.2,0.11,0.31,0.15,0.13,0.21,0.23,0.33,0.26,0.88,0.08,0.25,0.43,0.43,0.23,0.32,0.23,0.37,0.29,0.27
"Машинист, водители_res_fact",0.78,0.96,0.26,0.7,0.25,0.78,1.1,0.53,0.73,0.79,1.03,1.01,0.24,0.36,0.8,0.22,0.72,0.78,0.95,0.56,0.38,0.37,0.11,0.53,0.37,0.8,0.54,0.68,0.28,0.85,0.3,0.2,0.72,0.4,0.77,0.49,0.67,0.73,0.41,0.34,0.25,0.34,0.29,0.34,0.17,0.71,0.26,0.45,0.46,0.03,0.06,1.11,0.46,0.08,0.19,0.58,0.21,0.11,0.31,0.16,0.14,0.21,0.24,0.34,0.26,0.91,0.08,0.26,0.44,0.44,0.24,0.33,0.24,0.38,0.3,0.28
ИТР (инженерно-технический персонал)_res_fact,0.78,0.96,0.26,0.7,0.25,0.78,1.1,0.54,0.73,0.79,1.04,1.02,0.24,0.36,0.8,0.22,0.72,0.79,0.95,0.56,0.38,0.37,0.11,0.54,0.37,0.8,0.54,0.68,0.28,0.85,0.3,0.2,0.72,0.4,0.77,0.49,0.68,0.73,0.41,0.34,0.25,0.34,0.29,0.34,0.17,0.71,0.27,0.45,0.46,0.03,0.06,1.11,0.46,0.08,0.19,0.58,0.21,0.11,0.32,0.16,0.14,0.21,0.24,0.34,0.26,0.91,0.08,0.26,0.44,0.44,0.24,0.33,0.24,0.38,0.3,0.28
Сварщик МК (металлоконструкций)_res_fact,0.78,0.96,0.26,0.7,0.25,0.78,1.1,0.53,0.73,0.79,1.03,1.01,0.24,0.36,0.8,0.22,0.72,0.78,0.95,0.56,0.38,0.37,0.11,0.53,0.37,0.8,0.54,0.68,0.28,0.85,0.3,0.2,0.72,0.4,0.77,0.49,0.68,0.73,0.41,0.34,0.25,0.34,0.29,0.34,0.17,0.71,0.26,0.45,0.46,0.03,0.06,1.11,0.46,0.08,0.19,0.58,0.21,0.11,0.31,0.16,0.14,0.21,0.24,0.34,0.26,0.91,0.08,0.26,0.44,0.44,0.24,0.33,0.24,0.38,0.3,0.28
АПС (агрегат передвижной сварочный)_res_fact,0.61,0.73,0.2,0.38,0.18,0.49,0.87,0.43,0.64,0.68,0.85,0.83,0.22,0.33,0.59,0.18,0.52,0.52,0.51,0.4,0.34,0.33,0.1,0.48,0.26,0.71,0.39,0.43,0.23,0.61,0.24,0.17,0.63,0.36,0.58,0.43,0.5,0.63,0.31,0.28,0.21,0.3,0.25,0.3,0.13,0.44,0.2,0.38,0.35,0.02,0.05,0.9,0.42,0.07,0.17,0.52,0.19,0.1,0.28,0.14,0.11,0.19,0.2,0.3,0.14,0.81,0.07,0.24,0.4,0.39,0.19,0.24,0.22,0.28,0.27,0.22
Монтажник МК (металлоконструкций)_res_fact,0.78,0.96,0.26,0.7,0.25,0.78,1.1,0.53,0.73,0.79,1.03,1.01,0.24,0.36,0.8,0.22,0.72,0.78,0.95,0.56,0.38,0.37,0.11,0.53,0.37,0.8,0.54,0.68,0.28,0.85,0.3,0.2,0.72,0.4,0.77,0.49,0.67,0.73,0.41,0.34,0.25,0.34,0.29,0.34,0.17,0.71,0.26,0.45,0.46,0.03,0.06,1.11,0.46,0.08,0.19,0.58,0.21,0.11,0.31,0.16,0.14,0.21,0.24,0.34,0.26,0.91,0.08,0.26,0.44,0.44,0.24,0.33,0.24,0.38,0.3,0.28
ДЭС (дизельная электростанция)_res_fact,0.77,0.94,0.25,0.69,0.25,0.76,1.09,0.52,0.72,0.79,1.02,1.0,0.23,0.36,0.78,0.22,0.71,0.78,0.93,0.55,0.37,0.37,0.11,0.53,0.36,0.79,0.53,0.66,0.27,0.83,0.29,0.2,0.71,0.4,0.77,0.49,0.64,0.72,0.4,0.33,0.25,0.34,0.29,0.33,0.17,0.71,0.25,0.44,0.43,0.03,0.06,1.1,0.46,0.08,0.18,0.57,0.21,0.11,0.31,0.16,0.14,0.21,0.24,0.34,0.26,0.9,0.08,0.26,0.44,0.43,0.23,0.33,0.23,0.37,0.3,0.28
Разнорабочий_res_fact,1.04,1.25,0.37,0.89,0.33,0.94,1.29,0.73,0.89,0.96,1.21,1.18,0.3,0.43,0.99,0.27,0.88,0.92,1.12,0.68,0.49,0.44,0.15,0.7,0.42,0.95,0.7,0.78,0.35,0.98,0.35,0.25,0.84,0.52,0.89,0.61,0.77,0.85,0.5,0.4,0.31,0.4,0.35,0.4,0.22,0.84,0.36,0.54,0.57,0.09,0.11,1.31,0.53,0.15,0.26,0.74,0.32,0.15,0.37,0.21,0.2,0.25,0.31,0.44,0.32,1.08,0.09,0.32,0.52,0.53,0.27,0.37,0.27,0.43,0.34,0.31
